workerid,proliferate.condition,Condition_Item,chance,error
128,Default Condition,4_4,3,
128,Default Condition,35_filler,11,
128,Default Condition,16_4,27,
128,Default Condition,26_4,14,
128,Default Condition,25_4,18,
128,Default Condition,44_filler,0,
128,Default Condition,34_filler,2,
128,Default Condition,28_4,70,
128,Default Condition,23_4,22,
128,Default Condition,29_4,55,
128,Default Condition,22_4,35,
128,Default Condition,47_filler,100,
128,Default Condition,54_filler,100,
128,Default Condition,48_filler,94,
128,Default Condition,17_4,0,
128,Default Condition,21_4,38,
128,Default Condition,5_4,7,
128,Default Condition,38_filler,100,
128,Default Condition,31_4,36,
128,Default Condition,1_4,49,
128,Default Condition,20_4,70,
128,Default Condition,42_filler,0,
128,Default Condition,12_4,84,
128,Default Condition,41_filler,0,
128,Default Condition,43_filler,0,
128,Default Condition,3_4,42,
128,Default Condition,53_filler,100,
128,Default Condition,51_filler,0,
128,Default Condition,19_4,72,
128,Default Condition,36_filler,0,
128,Default Condition,32_4,47,
128,Default Condition,40_filler,100,
128,Default Condition,2_4,69,
128,Default Condition,45_filler,100,
128,Default Condition,56_filler,100,
128,Default Condition,14_4,63,
128,Default Condition,24_4,71,
128,Default Condition,39_filler,100,
128,Default Condition,49_filler,1,
128,Default Condition,30_4,91,
128,Default Condition,18_4,73,
128,Default Condition,46_filler,100,
128,Default Condition,10_4,19,
128,Default Condition,37_filler,100,
128,Default Condition,55_filler,100,
128,Default Condition,7_4,11,
128,Default Condition,8_4,78,
128,Default Condition,6_4,75,
128,Default Condition,9_4,85,
128,Default Condition,50_filler,64,
128,Default Condition,13_4,22,
128,Default Condition,11_4,20,
128,Default Condition,15_4,49,
128,Default Condition,52_filler,0,
128,Default Condition,27_4,23,
128,Default Condition,33_filler,0,
121,Default Condition,29_2,22,
121,Default Condition,5_2,34,
121,Default Condition,7_2,54,
121,Default Condition,47_filler,100,
121,Default Condition,12_2,44,
121,Default Condition,22_2,6,
121,Default Condition,28_2,57,
121,Default Condition,25_2,39,
121,Default Condition,30_2,68,
121,Default Condition,19_2,71,
121,Default Condition,51_filler,0,
121,Default Condition,40_filler,100,
121,Default Condition,48_filler,100,
121,Default Condition,50_filler,0,
121,Default Condition,4_2,42,
121,Default Condition,37_filler,100,
121,Default Condition,13_2,36,
121,Default Condition,26_2,61,
121,Default Condition,20_2,70,
121,Default Condition,21_2,41,
121,Default Condition,23_2,56,
121,Default Condition,44_filler,0,
121,Default Condition,33_filler,0,
121,Default Condition,11_2,63,
121,Default Condition,24_2,59,
121,Default Condition,31_2,59,
121,Default Condition,8_2,57,
121,Default Condition,45_filler,100,
121,Default Condition,42_filler,0,
121,Default Condition,35_filler,0,
121,Default Condition,3_2,67,
121,Default Condition,52_filler,0,
121,Default Condition,46_filler,100,
121,Default Condition,9_2,28,
121,Default Condition,27_2,62,
121,Default Condition,2_2,9,
121,Default Condition,16_2,26,
121,Default Condition,56_filler,100,
121,Default Condition,36_filler,0,
121,Default Condition,1_2,44,
121,Default Condition,55_filler,100,
121,Default Condition,34_filler,0,
121,Default Condition,41_filler,0,
121,Default Condition,54_filler,100,
121,Default Condition,43_filler,0,
121,Default Condition,49_filler,0,
121,Default Condition,32_2,58,
121,Default Condition,18_2,28,
121,Default Condition,6_2,26,
121,Default Condition,10_2,33,
121,Default Condition,14_2,21,
121,Default Condition,39_filler,100,
121,Default Condition,17_2,32,
121,Default Condition,15_2,46,
121,Default Condition,53_filler,100,
121,Default Condition,38_filler,100,
120,Default Condition,24_4,12,
120,Default Condition,48_filler,100,
120,Default Condition,10_4,41,
120,Default Condition,35_filler,0,
120,Default Condition,2_4,31,
120,Default Condition,34_filler,0,
120,Default Condition,16_4,0,
120,Default Condition,30_4,64,
120,Default Condition,52_filler,0,
120,Default Condition,5_4,63,
120,Default Condition,36_filler,0,
120,Default Condition,41_filler,0,
120,Default Condition,13_4,61,
120,Default Condition,49_filler,0,
120,Default Condition,17_4,58,
120,Default Condition,27_4,40,
120,Default Condition,3_4,55,
120,Default Condition,18_4,65,
120,Default Condition,39_filler,100,
120,Default Condition,29_4,42,
120,Default Condition,42_filler,0,
120,Default Condition,33_filler,0,
120,Default Condition,32_4,15,
120,Default Condition,8_4,28,
120,Default Condition,44_filler,0,
120,Default Condition,46_filler,100,
120,Default Condition,22_4,36,
120,Default Condition,20_4,26,
120,Default Condition,37_filler,100,
120,Default Condition,55_filler,100,
120,Default Condition,25_4,42,
120,Default Condition,56_filler,100,
120,Default Condition,12_4,24,
120,Default Condition,28_4,19,
120,Default Condition,45_filler,100,
120,Default Condition,19_4,40,
120,Default Condition,6_4,61,
120,Default Condition,47_filler,100,
120,Default Condition,11_4,24,
120,Default Condition,53_filler,100,
120,Default Condition,40_filler,100,
120,Default Condition,43_filler,0,
120,Default Condition,14_4,31,
120,Default Condition,7_4,29,
120,Default Condition,54_filler,100,
120,Default Condition,9_4,82,
120,Default Condition,23_4,32,
120,Default Condition,31_4,36,
120,Default Condition,4_4,22,
120,Default Condition,50_filler,0,
120,Default Condition,15_4,10,
120,Default Condition,51_filler,0,
120,Default Condition,1_4,66,
120,Default Condition,38_filler,100,
120,Default Condition,26_4,51,
120,Default Condition,21_4,44,
123,Default Condition,15_3,0,
123,Default Condition,50_filler,0,
123,Default Condition,2_3,0,
123,Default Condition,35_filler,0,
123,Default Condition,30_3,0,
123,Default Condition,34_filler,0,
123,Default Condition,28_3,0,
123,Default Condition,23_3,0,
123,Default Condition,51_filler,0,
123,Default Condition,45_filler,0,
123,Default Condition,44_filler,0,
123,Default Condition,27_3,0,
123,Default Condition,8_3,0,
123,Default Condition,16_3,0,
123,Default Condition,33_filler,0,
123,Default Condition,32_3,0,
123,Default Condition,52_filler,0,
123,Default Condition,18_3,0,
123,Default Condition,7_3,0,
123,Default Condition,26_3,0,
123,Default Condition,49_filler,0,
123,Default Condition,39_filler,0,
123,Default Condition,56_filler,0,
123,Default Condition,11_3,0,
123,Default Condition,53_filler,0,
123,Default Condition,4_3,0,
123,Default Condition,40_filler,0,
123,Default Condition,21_3,0,
123,Default Condition,24_3,0,
123,Default Condition,41_filler,0,
123,Default Condition,9_3,0,
123,Default Condition,19_3,0,
123,Default Condition,22_3,0,
123,Default Condition,55_filler,0,
123,Default Condition,46_filler,0,
123,Default Condition,20_3,0,
123,Default Condition,31_3,0,
123,Default Condition,10_3,0,
123,Default Condition,5_3,0,
123,Default Condition,3_3,0,
123,Default Condition,43_filler,0,
123,Default Condition,48_filler,0,
123,Default Condition,29_3,0,
123,Default Condition,14_3,0,
123,Default Condition,54_filler,0,
123,Default Condition,1_3,0,
123,Default Condition,13_3,0,
123,Default Condition,12_3,0,
123,Default Condition,37_filler,0,
123,Default Condition,17_3,0,
123,Default Condition,38_filler,0,
123,Default Condition,6_3,0,
123,Default Condition,36_filler,0,
123,Default Condition,25_3,0,
123,Default Condition,47_filler,0,
123,Default Condition,42_filler,0,
126,Default Condition,43_filler,0,
126,Default Condition,47_filler,100,
126,Default Condition,18_1,0,
126,Default Condition,30_1,100,
126,Default Condition,54_filler,100,
126,Default Condition,36_filler,0,
126,Default Condition,32_1,22,
126,Default Condition,16_1,5,
126,Default Condition,52_filler,0,
126,Default Condition,13_1,4,
126,Default Condition,29_1,3,
126,Default Condition,49_filler,0,
126,Default Condition,17_1,3,
126,Default Condition,34_filler,0,
126,Default Condition,45_filler,100,
126,Default Condition,41_filler,0,
126,Default Condition,46_filler,100,
126,Default Condition,3_1,0,
126,Default Condition,4_1,3,
126,Default Condition,6_1,97,
126,Default Condition,51_filler,0,
126,Default Condition,53_filler,100,
126,Default Condition,33_filler,0,
126,Default Condition,15_1,3,
126,Default Condition,31_1,2,
126,Default Condition,9_1,3,
126,Default Condition,19_1,6,
126,Default Condition,2_1,4,
126,Default Condition,35_filler,0,
126,Default Condition,21_1,4,
126,Default Condition,50_filler,0,
126,Default Condition,39_filler,100,
126,Default Condition,7_1,5,
126,Default Condition,20_1,3,
126,Default Condition,40_filler,100,
126,Default Condition,42_filler,5,
126,Default Condition,12_1,5,
126,Default Condition,38_filler,100,
126,Default Condition,28_1,1,
126,Default Condition,27_1,2,
126,Default Condition,22_1,2,
126,Default Condition,56_filler,100,
126,Default Condition,8_1,3,
126,Default Condition,10_1,3,
126,Default Condition,1_1,0,
126,Default Condition,24_1,2,
126,Default Condition,25_1,5,
