workerid,proliferate.condition,Condition_Item,chance,error
119,Default Condition,33_filler,0,
119,Default Condition,17_3,0,
119,Default Condition,34_filler,0,
119,Default Condition,1_3,0,
119,Default Condition,23_3,0,
119,Default Condition,31_3,0,
119,Default Condition,56_filler,100,
119,Default Condition,37_filler,100,
119,Default Condition,35_filler,0,
119,Default Condition,46_filler,100,
119,Default Condition,12_3,0,
119,Default Condition,2_3,0,
119,Default Condition,26_3,0,
119,Default Condition,6_3,0,
119,Default Condition,44_filler,0,
119,Default Condition,3_3,0,
119,Default Condition,5_3,0,
119,Default Condition,25_3,0,
119,Default Condition,28_3,100,
119,Default Condition,16_3,0,
119,Default Condition,49_filler,0,
119,Default Condition,7_3,0,
119,Default Condition,40_filler,100,
119,Default Condition,30_3,100,
119,Default Condition,38_filler,100,
119,Default Condition,51_filler,0,
119,Default Condition,21_3,0,
119,Default Condition,54_filler,100,
119,Default Condition,32_3,77,
119,Default Condition,18_3,0,
119,Default Condition,14_3,0,
119,Default Condition,43_filler,0,
119,Default Condition,29_3,0,
119,Default Condition,39_filler,100,
119,Default Condition,50_filler,0,
119,Default Condition,52_filler,0,
119,Default Condition,47_filler,100,
119,Default Condition,20_3,0,
119,Default Condition,19_3,53,
119,Default Condition,36_filler,0,
119,Default Condition,41_filler,0,
119,Default Condition,10_3,0,
119,Default Condition,55_filler,100,
119,Default Condition,22_3,0,
119,Default Condition,48_filler,100,
119,Default Condition,13_3,0,
119,Default Condition,53_filler,100,
119,Default Condition,15_3,0,
119,Default Condition,11_3,0,
119,Default Condition,24_3,0,
119,Default Condition,9_3,0,
119,Default Condition,8_3,0,
119,Default Condition,45_filler,100,
119,Default Condition,27_3,0,
119,Default Condition,4_3,0,
119,Default Condition,42_filler,0,
128,Default Condition,51_filler,0,
128,Default Condition,11_2,0,
128,Default Condition,29_2,0,
128,Default Condition,27_2,0,
128,Default Condition,31_2,0,
128,Default Condition,20_2,0,
128,Default Condition,10_2,0,
128,Default Condition,19_2,0,
128,Default Condition,17_2,0,
128,Default Condition,2_2,0,
128,Default Condition,25_2,0,
128,Default Condition,43_filler,0,
128,Default Condition,36_filler,0,
128,Default Condition,41_filler,0,
128,Default Condition,12_2,0,
128,Default Condition,15_2,0,
128,Default Condition,52_filler,0,
128,Default Condition,45_filler,100,
128,Default Condition,49_filler,0,
128,Default Condition,8_2,0,
128,Default Condition,48_filler,100,
128,Default Condition,37_filler,100,
128,Default Condition,40_filler,100,
128,Default Condition,9_2,0,
128,Default Condition,53_filler,100,
128,Default Condition,47_filler,100,
128,Default Condition,24_2,0,
128,Default Condition,5_2,0,
128,Default Condition,14_2,0,
128,Default Condition,16_2,0,
128,Default Condition,13_2,0,
128,Default Condition,22_2,0,
128,Default Condition,32_2,0,
128,Default Condition,46_filler,100,
128,Default Condition,26_2,0,
128,Default Condition,23_2,0,
128,Default Condition,55_filler,100,
128,Default Condition,34_filler,0,
128,Default Condition,28_2,0,
128,Default Condition,4_2,0,
128,Default Condition,21_2,0,
128,Default Condition,35_filler,92,
128,Default Condition,30_2,0,
128,Default Condition,1_2,0,
128,Default Condition,6_2,0,
128,Default Condition,54_filler,100,
128,Default Condition,56_filler,100,
128,Default Condition,44_filler,0,
128,Default Condition,18_2,0,
128,Default Condition,33_filler,0,
128,Default Condition,39_filler,100,
128,Default Condition,50_filler,0,
128,Default Condition,3_2,0,
128,Default Condition,7_2,0,
128,Default Condition,38_filler,100,
128,Default Condition,42_filler,0,
124,Default Condition,22_2,79,
124,Default Condition,44_filler,77,
124,Default Condition,42_filler,67,
124,Default Condition,24_2,22,
124,Default Condition,21_2,71,
124,Default Condition,7_2,72,
124,Default Condition,38_filler,72,
124,Default Condition,3_2,28,
124,Default Condition,50_filler,24,
124,Default Condition,8_2,73,
124,Default Condition,31_2,65,
124,Default Condition,36_filler,69,
124,Default Condition,40_filler,69,
124,Default Condition,47_filler,29,
124,Default Condition,43_filler,70,
124,Default Condition,29_2,69,
124,Default Condition,2_2,71,
124,Default Condition,48_filler,75,
124,Default Condition,55_filler,69,
124,Default Condition,32_2,69,
124,Default Condition,52_filler,71,
124,Default Condition,18_2,74,
124,Default Condition,10_2,21,
124,Default Condition,45_filler,68,
124,Default Condition,46_filler,78,
124,Default Condition,20_2,77,
124,Default Condition,27_2,72,
124,Default Condition,14_2,79,
124,Default Condition,4_2,76,
124,Default Condition,15_2,81,
124,Default Condition,17_2,66,
124,Default Condition,13_2,18,
124,Default Condition,41_filler,26,
124,Default Condition,12_2,22,
124,Default Condition,5_2,74,
124,Default Condition,9_2,77,
124,Default Condition,30_2,68,
124,Default Condition,35_filler,76,
124,Default Condition,54_filler,22,
124,Default Condition,19_2,76,
124,Default Condition,1_2,75,
124,Default Condition,25_2,19,
124,Default Condition,33_filler,76,
124,Default Condition,6_2,15,
124,Default Condition,39_filler,17,
124,Default Condition,51_filler,76,
124,Default Condition,53_filler,29,
124,Default Condition,11_2,76,
124,Default Condition,49_filler,80,
124,Default Condition,34_filler,78,
124,Default Condition,37_filler,71,
124,Default Condition,26_2,84,
124,Default Condition,23_2,25,
124,Default Condition,16_2,71,
124,Default Condition,28_2,78,
124,Default Condition,56_filler,72,
120,Default Condition,32_3,0,
120,Default Condition,45_filler,100,
120,Default Condition,21_3,50,
120,Default Condition,38_filler,100,
120,Default Condition,52_filler,0,
120,Default Condition,11_3,0,
120,Default Condition,55_filler,100,
120,Default Condition,40_filler,100,
120,Default Condition,14_3,40,
120,Default Condition,9_3,67,
120,Default Condition,6_3,0,
120,Default Condition,15_3,100,
120,Default Condition,37_filler,100,
120,Default Condition,44_filler,94,
120,Default Condition,17_3,80,
120,Default Condition,28_3,83,
120,Default Condition,25_3,14,
120,Default Condition,13_3,0,
120,Default Condition,54_filler,100,
120,Default Condition,24_3,16,
120,Default Condition,3_3,0,
120,Default Condition,29_3,0,
120,Default Condition,4_3,0,
120,Default Condition,43_filler,0,
120,Default Condition,2_3,0,
120,Default Condition,33_filler,0,
120,Default Condition,47_filler,100,
120,Default Condition,5_3,0,
120,Default Condition,36_filler,0,
120,Default Condition,27_3,0,
120,Default Condition,22_3,65,
120,Default Condition,34_filler,0,
120,Default Condition,46_filler,100,
120,Default Condition,10_3,71,
120,Default Condition,53_filler,100,
120,Default Condition,12_3,18,
120,Default Condition,49_filler,0,
120,Default Condition,48_filler,100,
120,Default Condition,56_filler,100,
120,Default Condition,20_3,100,
120,Default Condition,39_filler,100,
120,Default Condition,16_3,77,
120,Default Condition,8_3,73,
120,Default Condition,41_filler,0,
120,Default Condition,31_3,84,
120,Default Condition,23_3,80,
120,Default Condition,7_3,85,
120,Default Condition,18_3,0,
120,Default Condition,50_filler,0,
120,Default Condition,42_filler,0,
