workerid,proliferate.condition,Condition_Item,chance,error
142,Default Condition,19_2,100,
142,Default Condition,4_2,40,
142,Default Condition,12_2,0,
142,Default Condition,42_filler,0,
142,Default Condition,31_2,0,
142,Default Condition,25_2,0,
142,Default Condition,26_2,0,
142,Default Condition,5_2,15,
142,Default Condition,46_filler,100,
142,Default Condition,21_2,0,
142,Default Condition,17_2,0,
142,Default Condition,38_filler,100,
142,Default Condition,9_2,19,
142,Default Condition,6_2,0,
142,Default Condition,39_filler,99,
142,Default Condition,15_2,0,
142,Default Condition,54_filler,100,
142,Default Condition,43_filler,0,
142,Default Condition,48_filler,100,
142,Default Condition,33_filler,0,
142,Default Condition,18_2,16,
142,Default Condition,47_filler,100,
142,Default Condition,29_2,22,
142,Default Condition,8_2,28,
142,Default Condition,10_2,26,
142,Default Condition,30_2,15,
142,Default Condition,49_filler,0,
142,Default Condition,7_2,22,
142,Default Condition,34_filler,0,
142,Default Condition,41_filler,0,
142,Default Condition,40_filler,100,
142,Default Condition,3_2,28,
142,Default Condition,22_2,20,
142,Default Condition,13_2,27,
142,Default Condition,16_2,20,
142,Default Condition,1_2,20,
142,Default Condition,20_2,26,
142,Default Condition,27_2,19,
142,Default Condition,50_filler,0,
142,Default Condition,2_2,25,
142,Default Condition,11_2,26,
142,Default Condition,53_filler,100,
142,Default Condition,51_filler,27,
142,Default Condition,24_2,29,
142,Default Condition,32_2,18,
142,Default Condition,37_filler,100,
142,Default Condition,28_2,32,
142,Default Condition,14_2,30,
142,Default Condition,23_2,24,
142,Default Condition,52_filler,0,
144,Default Condition,18_4,20,
144,Default Condition,13_4,21,
144,Default Condition,7_4,21,
144,Default Condition,25_4,26,
144,Default Condition,40_filler,95,
144,Default Condition,42_filler,0,
144,Default Condition,46_filler,100,
144,Default Condition,12_4,26,
144,Default Condition,28_4,61,
144,Default Condition,5_4,24,
144,Default Condition,8_4,24,
144,Default Condition,38_filler,100,
144,Default Condition,39_filler,100,
144,Default Condition,48_filler,100,
144,Default Condition,4_4,21,
144,Default Condition,16_4,21,
144,Default Condition,2_4,45,
144,Default Condition,49_filler,0,
144,Default Condition,22_4,12,
144,Default Condition,11_4,9,
144,Default Condition,10_4,13,
144,Default Condition,41_filler,0,
144,Default Condition,15_4,14,
144,Default Condition,9_4,78,
144,Default Condition,27_4,64,
144,Default Condition,3_4,20,
144,Default Condition,30_4,79,
144,Default Condition,21_4,71,
144,Default Condition,37_filler,100,
144,Default Condition,52_filler,0,
144,Default Condition,54_filler,100,
144,Default Condition,32_4,36,
144,Default Condition,29_4,16,
144,Default Condition,1_4,22,
144,Default Condition,50_filler,0,
144,Default Condition,23_4,9,
144,Default Condition,17_4,19,
144,Default Condition,26_4,13,
144,Default Condition,24_4,22,
144,Default Condition,14_4,16,
144,Default Condition,31_4,65,
144,Default Condition,51_filler,0,
144,Default Condition,20_4,57,
144,Default Condition,34_filler,0,
144,Default Condition,19_4,89,
144,Default Condition,47_filler,100,
144,Default Condition,43_filler,0,
144,Default Condition,53_filler,100,
144,Default Condition,6_4,85,
144,Default Condition,33_filler,0,
141,Default Condition,46_filler,100,
141,Default Condition,24_1,39,
141,Default Condition,4_1,56,
141,Default Condition,11_1,30,
141,Default Condition,52_filler,0,
141,Default Condition,14_1,56,
141,Default Condition,20_1,56,
141,Default Condition,50_filler,0,
141,Default Condition,40_filler,100,
141,Default Condition,5_1,23,
141,Default Condition,16_1,68,
141,Default Condition,21_1,43,
141,Default Condition,31_1,33,
141,Default Condition,30_1,25,
141,Default Condition,33_filler,0,
141,Default Condition,48_filler,100,
141,Default Condition,27_1,15,
141,Default Condition,41_filler,0,
141,Default Condition,39_filler,100,
141,Default Condition,7_1,22,
141,Default Condition,54_filler,100,
141,Default Condition,13_1,13,
141,Default Condition,49_filler,0,
141,Default Condition,47_filler,100,
141,Default Condition,37_filler,100,
141,Default Condition,38_filler,100,
141,Default Condition,8_1,27,
141,Default Condition,42_filler,0,
141,Default Condition,28_1,32,
141,Default Condition,43_filler,0,
141,Default Condition,17_1,12,
141,Default Condition,32_1,55,
141,Default Condition,23_1,13,
141,Default Condition,26_1,38,
141,Default Condition,15_1,66,
141,Default Condition,9_1,52,
141,Default Condition,29_1,62,
141,Default Condition,10_1,57,
141,Default Condition,3_1,26,
141,Default Condition,25_1,0,
141,Default Condition,53_filler,100,
141,Default Condition,1_1,0,
141,Default Condition,12_1,25,
141,Default Condition,6_1,23,
141,Default Condition,18_1,0,
141,Default Condition,22_1,43,
141,Default Condition,2_1,29,
141,Default Condition,51_filler,0,
141,Default Condition,34_filler,0,
141,Default Condition,19_1,79,
119,Default Condition,33_filler,0,
119,Default Condition,17_3,0,
119,Default Condition,34_filler,0,
119,Default Condition,1_3,0,
119,Default Condition,23_3,0,
119,Default Condition,31_3,0,
119,Default Condition,56_filler,100,
119,Default Condition,37_filler,100,
119,Default Condition,35_filler,0,
119,Default Condition,46_filler,100,
119,Default Condition,12_3,0,
119,Default Condition,2_3,0,
119,Default Condition,26_3,0,
119,Default Condition,6_3,0,
119,Default Condition,44_filler,0,
119,Default Condition,3_3,0,
119,Default Condition,5_3,0,
119,Default Condition,25_3,0,
119,Default Condition,28_3,100,
119,Default Condition,16_3,0,
119,Default Condition,49_filler,0,
119,Default Condition,7_3,0,
119,Default Condition,40_filler,100,
119,Default Condition,30_3,100,
119,Default Condition,38_filler,100,
119,Default Condition,51_filler,0,
119,Default Condition,21_3,0,
119,Default Condition,54_filler,100,
119,Default Condition,32_3,77,
119,Default Condition,18_3,0,
119,Default Condition,14_3,0,
119,Default Condition,43_filler,0,
119,Default Condition,29_3,0,
119,Default Condition,39_filler,100,
119,Default Condition,50_filler,0,
119,Default Condition,52_filler,0,
119,Default Condition,47_filler,100,
119,Default Condition,20_3,0,
119,Default Condition,19_3,53,
119,Default Condition,36_filler,0,
119,Default Condition,41_filler,0,
119,Default Condition,10_3,0,
119,Default Condition,55_filler,100,
119,Default Condition,22_3,0,
119,Default Condition,48_filler,100,
119,Default Condition,13_3,0,
119,Default Condition,53_filler,100,
119,Default Condition,15_3,0,
119,Default Condition,11_3,0,
119,Default Condition,24_3,0,
119,Default Condition,9_3,0,
119,Default Condition,8_3,0,
119,Default Condition,45_filler,100,
119,Default Condition,27_3,0,
119,Default Condition,4_3,0,
119,Default Condition,42_filler,0,
172,Default Condition,40_filler,96,
172,Default Condition,46_filler,99,
172,Default Condition,33_filler,0,
172,Default Condition,30_2,0,
172,Default Condition,18_2,0,
172,Default Condition,52_filler,0,
172,Default Condition,10_2,0,
172,Default Condition,16_2,1,
172,Default Condition,28_2,62,
172,Default Condition,7_2,1,
172,Default Condition,41_filler,1,
172,Default Condition,22_2,2,
172,Default Condition,13_2,2,
172,Default Condition,51_filler,0,
172,Default Condition,3_2,1,
172,Default Condition,34_filler,0,
172,Default Condition,26_2,0,
172,Default Condition,24_2,0,
172,Default Condition,23_2,2,
172,Default Condition,31_2,2,
172,Default Condition,54_filler,97,
172,Default Condition,21_2,3,
172,Default Condition,19_2,52,
172,Default Condition,2_2,6,
172,Default Condition,12_2,3,
172,Default Condition,50_filler,0,
172,Default Condition,48_filler,94,
172,Default Condition,5_2,1,
172,Default Condition,39_filler,95,
172,Default Condition,49_filler,6,
172,Default Condition,25_2,2,
172,Default Condition,9_2,2,
172,Default Condition,29_2,3,
172,Default Condition,11_2,9,
172,Default Condition,32_2,10,
172,Default Condition,37_filler,98,
172,Default Condition,1_2,1,
172,Default Condition,6_2,3,
172,Default Condition,4_2,3,
172,Default Condition,15_2,10,
172,Default Condition,20_2,7,
172,Default Condition,43_filler,1,
172,Default Condition,38_filler,99,
172,Default Condition,27_2,0,
172,Default Condition,47_filler,98,
172,Default Condition,17_2,2,
172,Default Condition,14_2,2,
172,Default Condition,8_2,5,
172,Default Condition,42_filler,0,
172,Default Condition,53_filler,98,
184,Default Condition,39_filler,99,
184,Default Condition,1_2,22,
184,Default Condition,19_2,34,
184,Default Condition,33_filler,4,
184,Default Condition,20_2,36,
184,Default Condition,51_filler,0,
184,Default Condition,40_filler,98,
184,Default Condition,47_filler,100,
184,Default Condition,46_filler,100,
184,Default Condition,53_filler,88,
184,Default Condition,8_2,29,
184,Default Condition,50_filler,7,
184,Default Condition,31_2,24,
184,Default Condition,9_2,21,
184,Default Condition,25_2,15,
184,Default Condition,26_2,11,
184,Default Condition,43_filler,0,
184,Default Condition,54_filler,100,
184,Default Condition,24_2,21,
184,Default Condition,28_2,29,
184,Default Condition,23_2,21,
184,Default Condition,21_2,15,
184,Default Condition,22_2,9,
184,Default Condition,11_2,26,
184,Default Condition,12_2,18,
184,Default Condition,27_2,15,
184,Default Condition,49_filler,0,
184,Default Condition,48_filler,100,
184,Default Condition,29_2,24,
184,Default Condition,10_2,34,
184,Default Condition,3_2,28,
184,Default Condition,18_2,19,
184,Default Condition,42_filler,0,
184,Default Condition,15_2,21,
184,Default Condition,30_2,35,
184,Default Condition,5_2,10,
184,Default Condition,38_filler,100,
184,Default Condition,17_2,22,
184,Default Condition,14_2,37,
184,Default Condition,16_2,33,
184,Default Condition,4_2,32,
184,Default Condition,2_2,21,
184,Default Condition,6_2,17,
184,Default Condition,32_2,0,
184,Default Condition,7_2,27,
184,Default Condition,52_filler,0,
184,Default Condition,41_filler,0,
184,Default Condition,37_filler,100,
184,Default Condition,34_filler,0,
184,Default Condition,13_2,24,
128,Default Condition,51_filler,0,
128,Default Condition,11_2,0,
128,Default Condition,29_2,0,
128,Default Condition,27_2,0,
128,Default Condition,31_2,0,
128,Default Condition,20_2,0,
128,Default Condition,10_2,0,
128,Default Condition,19_2,0,
128,Default Condition,17_2,0,
128,Default Condition,2_2,0,
128,Default Condition,25_2,0,
128,Default Condition,43_filler,0,
128,Default Condition,36_filler,0,
128,Default Condition,41_filler,0,
128,Default Condition,12_2,0,
128,Default Condition,15_2,0,
128,Default Condition,52_filler,0,
128,Default Condition,45_filler,100,
128,Default Condition,49_filler,0,
128,Default Condition,8_2,0,
128,Default Condition,48_filler,100,
128,Default Condition,37_filler,100,
128,Default Condition,40_filler,100,
128,Default Condition,9_2,0,
128,Default Condition,53_filler,100,
128,Default Condition,47_filler,100,
128,Default Condition,24_2,0,
128,Default Condition,5_2,0,
128,Default Condition,14_2,0,
128,Default Condition,16_2,0,
128,Default Condition,13_2,0,
128,Default Condition,22_2,0,
128,Default Condition,32_2,0,
128,Default Condition,46_filler,100,
128,Default Condition,26_2,0,
128,Default Condition,23_2,0,
128,Default Condition,55_filler,100,
128,Default Condition,34_filler,0,
128,Default Condition,28_2,0,
128,Default Condition,4_2,0,
128,Default Condition,21_2,0,
128,Default Condition,35_filler,92,
128,Default Condition,30_2,0,
128,Default Condition,1_2,0,
128,Default Condition,6_2,0,
128,Default Condition,54_filler,100,
128,Default Condition,56_filler,100,
128,Default Condition,44_filler,0,
128,Default Condition,18_2,0,
128,Default Condition,33_filler,0,
128,Default Condition,39_filler,100,
128,Default Condition,50_filler,0,
128,Default Condition,3_2,0,
128,Default Condition,7_2,0,
128,Default Condition,38_filler,100,
128,Default Condition,42_filler,0,
139,Default Condition,25_2,31,
139,Default Condition,26_2,23,
139,Default Condition,48_filler,100,
139,Default Condition,47_filler,100,
139,Default Condition,8_2,5,
139,Default Condition,16_2,43,
139,Default Condition,40_filler,100,
139,Default Condition,54_filler,100,
139,Default Condition,19_2,31,
139,Default Condition,21_2,43,
139,Default Condition,14_2,57,
139,Default Condition,50_filler,0,
139,Default Condition,39_filler,100,
139,Default Condition,7_2,37,
139,Default Condition,42_filler,0,
139,Default Condition,9_2,47,
139,Default Condition,3_2,26,
139,Default Condition,49_filler,35,
139,Default Condition,22_2,42,
139,Default Condition,46_filler,100,
139,Default Condition,37_filler,100,
139,Default Condition,30_2,59,
139,Default Condition,2_2,42,
139,Default Condition,33_filler,0,
139,Default Condition,41_filler,27,
139,Default Condition,29_2,39,
139,Default Condition,24_2,57,
139,Default Condition,27_2,29,
139,Default Condition,11_2,25,
