Item,Condition_Item,Sentence,Question,Elided,Num_Elided,Elided Phrase,Subject Ellipsis,Disjunction NP,Experimental,LS_G
1,1_A,Joe drank coffee or Joe drank tea.,"Based on the sentence, how possible is it that Joe drank coffee and tea?",0,0,N/A,Proper Name,Object,experimental,1
2,2_D,Joe enjoys playing soccer or tennis. ,"Based on the sentence, how possible is it that Joe enjoys playing soccer and tennis?",1,3,NP + enjoys playing,None,Object,experimental,1
3,3_C,"Today, Joe is going to his work or is going to the store.","Based on the sentence, how possible is it that today Joe is going to his work and the store?",1,1,NP,None,Object,experimental,1
4,4_B,Joe saw a big blue garbage truck or he saw a big blue dump truck. ,"Based on the sentence, how possible is it that Joe saw a big blue garbage truck and dump truck?",0,0,N/A,Pronoun,Object,experimental,1
5,5_A,Joe owns a scale model military jet or Joe owns a scale model military helicopter.,"Based on the sentence, how possible is it that Joe owns a scale model military jet and helicopter?",0,0,N/A,Proper Name,Object,experimental,1
6,6_D,Joe likes plants you rarely have to water or trim.,"Based on the sentence, how possible is it that Joe likes plants you rarely have to water and trim?",1,7,NP + likes plants you rarely have to,None,Object,experimental,1
7,7_C,Joe bought a new state of the art computer or bought a new state of the art tablet.,"Based on the sentence, how possible is it that Joe bought a new state of the art computer and tablet?",1,1,NP,None,Object,experimental,1
8,8_B,Joe often tells stories about his time spent in Edinburgh or he often tells stories about his time spent in Toronto.,"Based on the sentence, how possible is it that Joe often tells stories about his time spent in Edinburgh and Toronto?",0,0,N/A,Pronoun,Object,experimental,1
9,9_A,Joe convinced his old friend to adopt another homeless puppy or Joe convinced his old friend to adopt another homeless kitten. ,"Based on the sentence, how possible is it that Joe convinced his old friend to adopt another homeless puppy and kitten?",0,0,N/A,Proper Name,Object,experimental,1
10,10_D,Joe decided to get a few drinks with his friends at Sudwerks or Red 88. ,"Based on the sentence, how possible is it that Joe decided to get a few drinks with his friends at Sudwerks and Red 88?",1,11,NP + decided to get a few drinks with his friends at,None,Object,experimental,1
12,12_A,Joe was here or Jane was here.,"Based on the sentence, how possible is it that Joe and Jane were here?",0,2,N/A,N/A,Subject,experimental,1
13,13_B,Justice or mercy should be valued. ,"Based on the sentence, how possible is it that justice and mercy should be valued?",1,3,should be valued,N/A,Subject,experimental,1
15,15_A,The linguistics department recently hired two new professors or the psychology department recently hired two new professors. ,"Based on the sentence, how possible is it that the linguistics department and the psychology department recently hired two new professors?",0,5,N/A,N/A,Subject,experimental,1
