Item,Condition_Item,Context,Sentence,Question,Condition,Con_Length,Overall_Length,Group
1,1_1,Jane invited her friend Joe over to her house for brunch last Sunday. ,"While there, Joe drank coffee or Joe drank tea.","Based on the sentence, how possible is it that he did both?",C_Proper,3,9,1
1,1_2,Jane invited her friend Joe over to her house for brunch last Sunday. ,"While there, Joe drank coffee or he drank tea.","Based on the sentence, how possible is it that he did both?",C_Pronoun,3,9,2
1,1_3,Jane invited her friend Joe over to her house for brunch last Sunday. ,"While there, Joe drank coffee or drank tea.","Based on the sentence, how possible is it that he did both?",VP,2,8,3
1,1_4,Jane invited her friend Joe over to her house for brunch last Sunday. ,"While there, Joe drank coffee or tea.","Based on the sentence, how possible is it that he did both?",NP,1,7,4
2,2_1,Recreational sports can be a fun way to keep active since there's bound to be a sport for everyone. ,Joe plays club soccer or club tennis. ,"Based on the sentence, how possible is it he does both?",NP,2,7,1
2,2_2,Recreational sports can be a fun way to keep active since there's bound to be a sport for everyone. ,Joe plays club soccer or Joe plays club tennis. ,"Based on the sentence, how possible is it he does both?",C_Proper,4,9,2
2,2_3,Recreational sports can be a fun way to keep active since there's bound to be a sport for everyone. ,Joe plays club soccer or he plays club tennis. ,"Based on the sentence, how possible is it he does both?",C_Pronoun,4,9,3
2,2_4,Recreational sports can be a fun way to keep active since there's bound to be a sport for everyone. ,Joe plays club soccer or plays club tennis. ,"Based on the sentence, how possible is it he does both?",VP,3,8,4
3,3_1,"Many students work part time while taking classes, but it can make their schedules quite busy. ",Joe is a restaurant waiter or is a delivery driver.,"Based on the sentence, how possible is it that he is both?",VP,4,10,1
3,3_2,"Many students work part time while taking classes, but it can make their schedules quite busy. ",Joe is a restaurant waiter or a delivery driver.,"Based on the sentence, how possible is it that he is both?",NP,3,9,2
3,3_3,"Many students work part time while taking classes, but it can make their schedules quite busy. ",Joe is a restaurant waiter or Joe is a delivery driver.,"Based on the sentence, how possible is it that he is both?",C_Proper,5,11,3
3,3_4,"Many students work part time while taking classes, but it can make their schedules quite busy. ",Joe is a restaurant waiter or he is a delivery driver.,"Based on the sentence, how possible is it that he is both?",C_Pronoun,5,11,4
4,4_1,"It can be relaxing to look out the window at the passing traffic, and you might see some interesting vehicles. ","Today, Joe saw a blue garbage truck or he saw a red dump truck. ","Based on the sentence, how possible is it that he did both?",C_Pronoun,6,14,1
4,4_2,"It can be relaxing to look out the window at the passing traffic, and you might see some interesting vehicles. ","Today, Joe saw a blue garbage truck or saw a red dump truck. ","Based on the sentence, how possible is it that he did both?",VP,5,13,2
4,4_3,"It can be relaxing to look out the window at the passing traffic, and you might see some interesting vehicles. ","Today, Joe saw a blue garbage truck or a red dump truck. ","Based on the sentence, how possible is it that he did both?",NP,4,12,3
4,4_4,"It can be relaxing to look out the window at the passing traffic, and you might see some interesting vehicles. ","Today, Joe saw a blue garbage truck or Joe saw a red dump truck. ","Based on the sentence, how possible is it that he did both?",C_Proper,6,14,4
5,5_1,"Painting miniatures is a rewarding hobby, especially for people who enjoy military history.",Joe owns a scale model military jet or Joe owns a scale model military helicopter.,"Based on the sentence, how possible is it that he has both?",C_Proper,7,15,1
5,5_2,"Painting miniatures is a rewarding hobby, especially for people who enjoy military history.",Joe owns a scale model military jet or he owns a scale model military helicopter.,"Based on the sentence, how possible is it that he has both?",C_Pronoun,7,15,2
5,5_3,"Painting miniatures is a rewarding hobby, especially for people who enjoy military history.",Joe owns a scale model military jet or owns a scale model military helicopter.,"Based on the sentence, how possible is it that he has both?",VP,6,14,3
5,5_4,"Painting miniatures is a rewarding hobby, especially for people who enjoy military history.",Joe owns a scale model military jet or a scale model military helicopter.,"Based on the sentence, how possible is it that he has both?",NP,5,13,4
6,6_1,"Houseplants can really brighten up a room, but they can be a lot of work to keep healthy. ",Joe prefers beautiful but less hardy indoor plants or common but very hardy indoor plants.,"Based on the sentence, how possible is it that he prefers both?",NP,6,15,1
6,6_2,"Houseplants can really brighten up a room, but they can be a lot of work to keep healthy. ",Joe prefers beautiful but less hardy indoor plants or Joe prefers common but very hardy indoor plants.,"Based on the sentence, how possible is it that he prefers both?",C_Proper,8,17,2
6,6_3,"Houseplants can really brighten up a room, but they can be a lot of work to keep healthy. ",Joe prefers beautiful but less hardy indoor plants or he prefers common but very hardy indoor plants.,"Based on the sentence, how possible is it that he prefers both?",C_Pronoun,8,17,3
6,6_4,"Houseplants can really brighten up a room, but they can be a lot of work to keep healthy. ",Joe prefers beautiful but less hardy indoor plants or prefers common but very hardy indoor plants.,"Based on the sentence, how possible is it that he prefers both?",VP,7,16,4
7,7_1,"Having the newest technology is expensive, but some think it is money well spent. ",Joe bought a new state of the art computer or bought a new state of the art tablet.,"Based on the sentence, how possible is it that he did both?",VP,8,18,1
7,7_2,"Having the newest technology is expensive, but some think it is money well spent. ",Joe bought a new state of the art computer or a new state of the art tablet.,"Based on the sentence, how possible is it that he did both?",NP,7,17,2
7,7_3,"Having the newest technology is expensive, but some think it is money well spent. ",Joe bought a new state of the art computer or Joe bought a new state of the art tablet.,"Based on the sentence, how possible is it that he did both?",C_Proper,9,19,3
7,7_4,"Having the newest technology is expensive, but some think it is money well spent. ",Joe bought a new state of the art computer or he bought a new state of the art tablet.,"Based on the sentence, how possible is it that he did both?",C_Pronoun,9,19,4
8,8_1,The university library has more than just academic texts. ,Joe borrowed an old copy of William Shakespeare's play Othello or he borrowed a recently published mystery novel by Stephen King.,"Based on the sentence, how possible is it that he did both?",C_Pronoun,10,21,1
8,8_2,The university library has more than just academic texts. ,Joe borrowed an old copy of William Shakespeare's play Othello or borrowed a recently published mystery novel by Stephen King.,"Based on the sentence, how possible is it that he did both?",VP,9,20,2
8,8_3,The university library has more than just academic texts. ,Joe borrowed an old copy of William Shakespeare's play Othello or a recently published mystery novel by Stephen King.,"Based on the sentence, how possible is it that he did both?",NP,8,19,3
8,8_4,The university library has more than just academic texts. ,Joe borrowed an old copy of William Shakespeare's play Othello or Joe borrowed a recently published mystery novel by Stephen King.,"Based on the sentence, how possible is it that he did both?",C_Proper,10,21,4
9,9_1,"Unfortunately, some people never learn to eat their vegetables. ",Jane hates broccoli or Jane hates spinach. ,"Based on the sentence, how possible is it that she hates both?",C_Proper,3,7,1
9,9_2,"Unfortunately, some people never learn to eat their vegetables. ",Jane hates broccoli or she hates spinach. ,"Based on the sentence, how possible is it that she hates both?",C_Pronoun,3,7,2
9,9_3,"Unfortunately, some people never learn to eat their vegetables. ",Jane hates broccoli or hates spinach. ,"Based on the sentence, how possible is it that she hates both?",VP,2,6,3
9,9_4,"Unfortunately, some people never learn to eat their vegetables. ",Jane hates broccoli or spinach. ,"Based on the sentence, how possible is it that she hates both?",NP,1,5,4
10,10_1,Jane and Joe went to In and Out Burger last weekend. ,Jane ordered a burger or french fries.,"Based on the sentence, how possible is it that she did both?",NP,2,7,1
10,10_2,Jane and Joe went to In and Out Burger last weekend. ,Jane ordered a burger or Jane ordered french fries.,"Based on the sentence, how possible is it that she did both?",C_Proper,4,9,2
10,10_3,Jane and Joe went to In and Out Burger last weekend. ,Jane ordered a burger or she ordered french fries.,"Based on the sentence, how possible is it that she did both?",C_Pronoun,4,9,3
10,10_4,Jane and Joe went to In and Out Burger last weekend. ,Jane ordered a burger or ordered french fries.,"Based on the sentence, how possible is it that she did both?",VP,3,8,4
11,11_1,The school counselor told students that playing a sport can help them stand out on college apps.,"Due to the recommendation, Jane joined the basketball team or joined the volleyball team. ","Based on the sentence, how possible is it that she did both?",VP,4,14,1
11,11_2,The school counselor told students that playing a sport can help them stand out on college apps.,"Due to the recommendation, Jane joined the basketball team or the volleyball team. ","Based on the sentence, how possible is it that she did both?",NP,3,13,2
11,11_3,The school counselor told students that playing a sport can help them stand out on college apps.,"Due to the recommendation, Jane joined the basketball team or Jane joined the volleyball team. ","Based on the sentence, how possible is it that she did both?",C_Proper,5,15,3
11,11_4,The school counselor told students that playing a sport can help them stand out on college apps.,"Due to the recommendation, Jane joined the basketball team or she joined the volleyball team. ","Based on the sentence, how possible is it that she did both?",C_Pronoun,5,15,4
12,12_1,Jane's family recently adopted two animals from the shelter. ,Jane pet the happy little kitten or she pet the sleepy little puppy. ,"Based on the sentence, how possible is it that she did both?",C_Pronoun,6,13,1
12,12_2,Jane's family recently adopted two animals from the shelter. ,Jane pet the happy little kitten or pet the sleepy little puppy. ,"Based on the sentence, how possible is it that she did both?",VP,5,12,2
12,12_3,Jane's family recently adopted two animals from the shelter. ,Jane pet the happy little kitten or the sleepy little puppy. ,"Based on the sentence, how possible is it that she did both?",NP,4,11,3
12,12_4,Jane's family recently adopted two animals from the shelter. ,Jane pet the happy little kitten or Jane pet the sleepy little puppy. ,"Based on the sentence, how possible is it that she did both?",C_Proper,6,13,4
13,13_1,Many companies prefer to hire employees from the UC system. ,Jane hired a recent graduate from Davis or Jane hired a recent graduate from Berkeley. ,"Based on the sentence, how possible is it that she did both?",C_Proper,7,15,1
13,13_2,Many companies prefer to hire employees from the UC system. ,Jane hired a recent graduate from Davis or she hired a recent graduate from Berkeley. ,"Based on the sentence, how possible is it that she did both?",C_Pronoun,7,15,2
13,13_3,Many companies prefer to hire employees from the UC system. ,Jane hired a recent graduate from Davis or hired a recent graduate from Berkeley. ,"Based on the sentence, how possible is it that she did both?",VP,6,14,3
13,13_4,Many companies prefer to hire employees from the UC system. ,Jane hired a recent graduate from Davis or a recent graduate from Berkeley. ,"Based on the sentence, how possible is it that she did both?",NP,5,13,4
14,14_1,Classic metal bands are still popular today even years after their debut in the music scene. ,Jane is a massive fan of Iron Maiden or a massive fan of Judas Priest.,"Based on the sentence, how possible is it that she is both?",NP,6,15,1
14,14_2,Classic metal bands are still popular today even years after their debut in the music scene. ,Jane is a massive fan of Iron Maiden or Jane is a massive fan of Judas Priest.,"Based on the sentence, how possible is it that she is both?",C_Proper,8,17,2
14,14_3,Classic metal bands are still popular today even years after their debut in the music scene. ,Jane is a massive fan of Iron Maiden or she is a massive fan of Judas Priest.,"Based on the sentence, how possible is it that she is both?",C_Pronoun,8,17,3
14,14_4,Classic metal bands are still popular today even years after their debut in the music scene. ,Jane is a massive fan of Iron Maiden or is a massive fan of Judas Priest.,"Based on the sentence, how possible is it that she is both?",VP,7,16,4
15,15_1,Last weekend the ARC had free exercise classes available for students. ,Jane visited the Activities and Recreation Center rock wall or visited the Activities and Recreation Center swimming pool.,"Based on the sentence, how possible is it that she did both?",VP,8,18,1
15,15_2,Last weekend the ARC had free exercise classes available for students. ,Jane visited the Activities and Recreation Center rock wall or the Activities and Recreation Center swimming pool.,"Based on the sentence, how possible is it that she did both?",NP,7,17,2
15,15_3,Last weekend the ARC had free exercise classes available for students. ,Jane visited the Activities and Recreation Center rock wall or Jane visited the Activities and Recreation Center swimming pool.,"Based on the sentence, how possible is it that she did both?",C_Proper,9,19,3
